,fecha,estacion,tsm,ano,mes,chla,mes_num,est_index,longitud,latitud,evento,oni,estacion_climatica
0,1981-09-01,est_1,30.5,,9,,,0.0,-109.3,23.8,Neutro,-0.2,SON
1,1981-09-01,est_10,28.625,,9,,,9.0,-112.3,27.6,Neutro,-0.2,SON
2,1981-09-01,est_11,29.1583,,9,,,10.0,-112.6,28.0,Neutro,-0.2,SON
3,1981-09-01,est_12,28.875,,9,,,11.0,-112.9,28.5,Neutro,-0.2,SON
4,1981-09-01,est_13,26.9667,,9,,,12.0,-113.2,28.9,Neutro,-0.2,SON
5,1981-09-01,est_14,28.8083,,9,,,13.0,-113.6,29.4,Neutro,-0.2,SON
6,1981-09-01,est_15,30.7583,,9,,,14.0,-114.0,29.7,Neutro,-0.2,SON
7,1981-09-01,est_16,30.0917,,9,,,15.0,-114.5,30.2,Neutro,-0.2,SON
8,1981-09-01,est_17,30.4667,,9,,,16.0,-114.5,30.7,Neutro,-0.2,SON
9,1981-09-01,est_2,30.5083,,9,,,1.0,-109.7,24.2,Neutro,-0.2,SON
10,1981-09-01,est_3,30.1833,,9,,,2.0,-110.1,24.6,Neutro,-0.2,SON
11,1981-09-01,est_4,30.375,,9,,,3.0,-110.5,24.8,Neutro,-0.2,SON
12,1981-09-01,est_5,29.55,,9,,,4.0,-110.8,25.3,Neutro,-0.2,SON
13,1981-09-01,est_6,30.275,,9,,,5.0,-111.1,25.8,Neutro,-0.2,SON
14,1981-09-01,est_7,29.9917,,9,,,6.0,-111.2,26.3,Neutro,-0.2,SON
15,1981-09-01,est_8,29.975,,9,,,7.0,-111.5,26.8,Neutro,-0.2,SON
16,1981-09-01,est_9,27.6583,,9,,,8.0,-111.9,27.2,Neutro,-0.2,SON
17,1981-10-01,est_1,28.3833,,10,,,0.0,-109.3,23.8,Neutro,-0.1,SON
18,1981-10-01,est_10,26.2333,,10,,,9.0,-112.3,27.6,Neutro,-0.1,SON
19,1981-10-01,est_11,24.775,,10,,,10.0,-112.6,28.0,Neutro,-0.1,SON
20,1981-10-01,est_12,25.4813,,10,,,11.0,-112.9,28.5,Neutro,-0.1,SON
21,1981-10-01,est_13,23.225,,10,,,12.0,-113.2,28.9,Neutro,-0.1,SON
22,1981-10-01,est_14,25.9,,10,,,13.0,-113.6,29.4,Neutro,-0.1,SON
23,1981-10-01,est_15,26.85,,10,,,14.0,-114.0,29.7,Neutro,-0.1,SON
24,1981-10-01,est_16,26.9167,,10,,,15.0,-114.5,30.2,Neutro,-0.1,SON
25,1981-10-01,est_17,27.5,,10,,,16.0,-114.5,30.7,Neutro,-0.1,SON
26,1981-10-01,est_2,28.1833,,10,,,1.0,-109.7,24.2,Neutro,-0.1,SON
27,1981-10-01,est_3,28.2667,,10,,,2.0,-110.1,24.6,Neutro,-0.1,SON
28,1981-10-01,est_4,28.05,,10,,,3.0,-110.5,24.8,Neutro,-0.1,SON
29,1981-10-01,est_5,28.3667,,10,,,4.0,-110.8,25.3,Neutro,-0.1,SON
30,1981-10-01,est_6,27.9583,,10,,,5.0,-111.1,25.8,Neutro,-0.1,SON
31,1981-10-01,est_7,28.5667,,10,,,6.0,-111.2,26.3,Neutro,-0.1,SON
32,1981-10-01,est_8,25.45,,10,,,7.0,-111.5,26.8,Neutro,-0.1,SON
33,1981-10-01,est_9,27.275,,10,,,8.0,-111.9,27.2,Neutro,-0.1,SON
34,1981-11-01,est_1,26.775,,11,,,0.0,-109.3,23.8,Neutro,-0.2,SON
35,1981-11-01,est_10,20.5917,,11,,,9.0,-112.3,27.6,Neutro,-0.2,SON
36,1981-11-01,est_11,20.0667,,11,,,10.0,-112.6,28.0,Neutro,-0.2,SON
37,1981-11-01,est_12,17.7188,,11,,,11.0,-112.9,28.5,Neutro,-0.2,SON
38,1981-11-01,est_13,18.5417,,11,,,12.0,-113.2,28.9,Neutro,-0.2,SON
39,1981-11-01,est_14,15.2417,,11,,,13.0,-113.6,29.4,Neutro,-0.2,SON
40,1981-11-01,est_15,18.3417,,11,,,14.0,-114.0,29.7,Neutro,-0.2,SON
41,1981-11-01,est_16,21.2583,,11,,,15.0,-114.5,30.2,Neutro,-0.2,SON
42,1981-11-01,est_17,22.2083,,11,,,16.0,-114.5,30.7,Neutro,-0.2,SON
43,1981-11-01,est_2,26.7667,,11,,,1.0,-109.7,24.2,Neutro,-0.2,SON
44,1981-11-01,est_3,26.8833,,11,,,2.0,-110.1,24.6,Neutro,-0.2,SON
45,1981-11-01,est_4,26.8583,,11,,,3.0,-110.5,24.8,Neutro,-0.2,SON
46,1981-11-01,est_5,25.4333,,11,,,4.0,-110.8,25.3,Neutro,-0.2,SON
47,1981-11-01,est_6,25.275,,11,,,5.0,-111.1,25.8,Neutro,-0.2,SON
48,1981-11-01,est_7,25.2667,,11,,,6.0,-111.2,26.3,Neutro,-0.2,SON
49,1981-11-01,est_8,20.6167,,11,,,7.0,-111.5,26.8,Neutro,-0.2,SON
50,1981-11-01,est_9,22.1,,11,,,8.0,-111.9,27.2,Neutro,-0.2,SON
51,1981-12-01,est_1,24.0667,,12,,,0.0,-109.3,23.8,Neutro,-0.1,DJF
52,1981-12-01,est_10,16.9417,,12,,,9.0,-112.3,27.6,Neutro,-0.1,DJF
